"State","Year","Nature","Incidents"
"Guam",2016,"BSA.Structuring.Money.Laundering",0
"Hawaii",1996,"BSA.Structuring.Money.Laundering",256
"Hawaii",1997,"BSA.Structuring.Money.Laundering",348
"Hawaii",1998,"BSA.Structuring.Money.Laundering",369
"Hawaii",1999,"BSA.Structuring.Money.Laundering",382
"Hawaii",2000,"BSA.Structuring.Money.Laundering",579
"Hawaii",2001,"BSA.Structuring.Money.Laundering",799
"Hawaii",2002,"BSA.Structuring.Money.Laundering",761
"Hawaii",2003,"BSA.Structuring.Money.Laundering",1003
"Hawaii",2004,"BSA.Structuring.Money.Laundering",1156
"Hawaii",2005,"BSA.Structuring.Money.Laundering",1484
"Hawaii",2006,"BSA.Structuring.Money.Laundering",3256
"Hawaii",2007,"BSA.Structuring.Money.Laundering",5713
"Hawaii",2008,"BSA.Structuring.Money.Laundering",7222
"Hawaii",2009,"BSA.Structuring.Money.Laundering",6483
"Hawaii",2010,"BSA.Structuring.Money.Laundering",7198
"Hawaii",2011,"BSA.Structuring.Money.Laundering",0
"Hawaii",2012,"BSA.Structuring.Money.Laundering",0
"Hawaii",2013,"BSA.Structuring.Money.Laundering",0
"Hawaii",2014,"BSA.Structuring.Money.Laundering",0
"Hawaii",2015,"BSA.Structuring.Money.Laundering",0
"Hawaii",2016,"BSA.Structuring.Money.Laundering",0
"Idaho",1996,"BSA.Structuring.Money.Laundering",12
"Idaho",1997,"BSA.Structuring.Money.Laundering",39
"Idaho",1998,"BSA.Structuring.Money.Laundering",42
"Idaho",1999,"BSA.Structuring.Money.Laundering",75
"Idaho",2000,"BSA.Structuring.Money.Laundering",274
"Idaho",2001,"BSA.Structuring.Money.Laundering",183
"Idaho",2002,"BSA.Structuring.Money.Laundering",222
"Idaho",2003,"BSA.Structuring.Money.Laundering",230
"Idaho",2004,"BSA.Structuring.Money.Laundering",308
"Idaho",2005,"BSA.Structuring.Money.Laundering",567
"Idaho",2006,"BSA.Structuring.Money.Laundering",569
