"Nature","Year","Incidents"
"Mysterious Disappearance","2011",4700
"Other","1996",6329
"Other","1997",6675
"Other","1998",8583
"Other","1999",8739
"Other","2000",11148
"Other","2001",18318
"Other","2002",31109
"Other","2003",29835
"Other","2004",36869
"Other","2005",52792
"Other","2006",59440
"Other","2007",78101
"Other","2008",83777
"Other","2009",100145
"Other","2010",83460
"Other","2011",93564
"Terrorist Financing","1996",0
"Terrorist Financing","1997",0
"Terrorist Financing","1998",0
"Terrorist Financing","1999",0
"Terrorist Financing","2000",0
"Terrorist Financing","2001",0
"Terrorist Financing","2002",0
"Terrorist Financing","2003",495
"Terrorist Financing","2004",987
"Terrorist Financing","2005",958
"Terrorist Financing","2006",736
"Terrorist Financing","2007",687
"Terrorist Financing","2008",506
"Terrorist Financing","2009",545
"Terrorist Financing","2010",711
"Terrorist Financing","2011",609
"Unknown/Blank","1996",1991
"Unknown/Blank","1997",2317
"Unknown/Blank","1998",2691
"Unknown/Blank","1999",6971
"Unknown/Blank","2000",6971
"Unknown/Blank","2001",11908
"Unknown/Blank","2002",7704
"Unknown/Blank","2003",4638
"Unknown/Blank","2004",4892
"Unknown/Blank","2005",8081
"Unknown/Blank","2006",4890
"Unknown/Blank","2007",3536
"Unknown/Blank","2008",2361
"Unknown/Blank","2009",1666
"Unknown/Blank","2010",957
"Unknown/Blank","2011",729
"Wire Transfer Fraud","1996",309
"Wire Transfer Fraud","1997",509
"Wire Transfer Fraud","1998",593
"Wire Transfer Fraud","1999",771
"Wire Transfer Fraud","2000",972
"Wire Transfer Fraud","2001",1527
"Wire Transfer Fraud","2002",4747
"Wire Transfer Fraud","2003",6660
"Wire Transfer Fraud","2004",3635
"Wire Transfer Fraud","2005",4335
"Wire Transfer Fraud","2006",5504
"Wire Transfer Fraud","2007",9328
"Wire Transfer Fraud","2008",14700
"Wire Transfer Fraud","2009",15506
"Wire Transfer Fraud","2010",14214
"Wire Transfer Fraud","2011",15497
