"State","Year","Nature","Incidents"
"Indiana",1997,"Bribery.Gratuity",0
"Indiana",1998,"Bribery.Gratuity",0
"Indiana",1999,"Bribery.Gratuity",0
"Indiana",2000,"Bribery.Gratuity",0
"Indiana",2001,"Bribery.Gratuity",1
"Indiana",2002,"Bribery.Gratuity",0
"Indiana",2003,"Bribery.Gratuity",1
"Indiana",2004,"Bribery.Gratuity",0
"Indiana",2005,"Bribery.Gratuity",1
"Indiana",2006,"Bribery.Gratuity",1
"Indiana",2007,"Bribery.Gratuity",0
"Indiana",2008,"Bribery.Gratuity",0
"Indiana",2009,"Bribery.Gratuity",0
"Indiana",2010,"Bribery.Gratuity",4
"Indiana",2011,"Bribery.Gratuity",0
"Iowa",1996,"Bribery.Gratuity",0
"Iowa",1997,"Bribery.Gratuity",0
"Iowa",1998,"Bribery.Gratuity",0
"Iowa",1999,"Bribery.Gratuity",0
"Iowa",2000,"Bribery.Gratuity",0
"Iowa",2001,"Bribery.Gratuity",0
"Iowa",2002,"Bribery.Gratuity",0
"Iowa",2003,"Bribery.Gratuity",0
"Iowa",2004,"Bribery.Gratuity",0
"Iowa",2005,"Bribery.Gratuity",0
"Iowa",2006,"Bribery.Gratuity",0
"Iowa",2007,"Bribery.Gratuity",0
"Iowa",2008,"Bribery.Gratuity",0
"Iowa",2009,"Bribery.Gratuity",1
"Iowa",2010,"Bribery.Gratuity",0
"Iowa",2011,"Bribery.Gratuity",0
"Kansas",1996,"Bribery.Gratuity",0
"Kansas",1997,"Bribery.Gratuity",0
"Kansas",1998,"Bribery.Gratuity",0
"Kansas",1999,"Bribery.Gratuity",0
"Kansas",2000,"Bribery.Gratuity",0
"Kansas",2001,"Bribery.Gratuity",0
"Kansas",2002,"Bribery.Gratuity",0
"Kansas",2003,"Bribery.Gratuity",0
"Kansas",2004,"Bribery.Gratuity",1
"Kansas",2005,"Bribery.Gratuity",0
"Kansas",2006,"Bribery.Gratuity",1
"Kansas",2007,"Bribery.Gratuity",0
"Kansas",2008,"Bribery.Gratuity",0
"Kansas",2009,"Bribery.Gratuity",1
